#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
永|有些 人 很自私 ， 他們 永遠 只 想到 自己 。<br /><br />yǒuxiē rén hěnzìsī, tāmen yǒngyuǎn zhǐ xiǎngdào zìjǐ.<br /><br />Some people are very selfish. They think only of themselves.
獎|她 是 畫家 。 她的 作品 得過 很多 獎 。<br /><br />tā shì huàjiā. tāde· zuòpǐn déguò hěnduō jiǎng.<br /><br />She's a painter. She's won many prizes for her paintings.
趕|我 急急忙忙地 趕到 。<br /><br />wǒ jíjímángmángde· gǎndào.<br /><br />I hurried so that I wouldn't be late.
富|義大利的 藝術 、 美食 、 建築 、 歷史 和 時 尚 都 很有名 ， 他們的 文化 很豐富 。<br /><br />yìdàlìde· yìshù, měishí, jiànzhú, lìshǐ hàn shíshàng dōu hěnyǒumíng, tāmende· wénhuà hěnfēngfù.<br /><br />Italy is famous for its art, cuisine, architecture, history, and fashion. It's rich in culture.
蘭|我 沒去過 紐西蘭 ， 但 我 哥哥 去過 兩次 。<br /><br />wǒ méiqùguò niǔxīlán, dàn wǒ gēgē qùguò liǎngcì.<br /><br />I've never been to New Zealand, but my brother's been there twice.
錄|我們 辦了 一個 派對 要慶祝 我的 妹妹 錄取 法學院 。<br /><br />wǒmen bànle· yīge· pàiduì yàoqìngzhù wǒde· mèimei· lùqǔ fǎxuéyuàn.<br /><br />We held a party to congratulate my sister on being admitted to law school.
畫|她 是 畫家 。 她的 作品 得過 很多 獎 。<br /><br />tā shì huàjiā. tāde· zuòpǐn déguò hěnduō jiǎng.<br /><br />She's a painter. She's won many prizes for her paintings.
遇|你 有遇過 名人 嗎 ？<br /><br />nǐ yǒuyùguò míngrén mā?<br /><br />Have you ever met a famous person?
頓|我 剛 吃完 一大頓 晚餐 ， 所以 我 不餓了 。<br /><br />wǒ gāng chīwán yídàdùn wǎncān, suǒyǐ wǒ búèle·.<br /><br />I've just eaten a big dinner, so I'm not hungry.
藝|義大利的 藝術 、 美食 、 建築 、 歷史 和 時 尚 都 很有名 ， 他們的 文化 很豐富 。<br /><br />yìdàlìde· yìshù, měishí, jiànzhú, lìshǐ hàn shíshàng dōu hěnyǒumíng, tāmende· wénhuà hěnfēngfù.<br /><br />Italy is famous for its art, cuisine, architecture, history, and fashion. It's rich in culture.
普|我 知道 湯普森太太 有 工作 ， 但 她 白天都 在 家 。 她 一定 是 在 晚上 工作 。<br /><br />wǒ zhīdào tāngpǔsēntàitai· yǒu gōngzuò, dàn tā báitiāndōu zài jiā. tā yídìng shì zài wǎnshàng gōngzuò.<br /><br />I know Ms. Thompson has a job, but she's always home during the day. She must work at night.
素|繁  他 吃素 。 他 不吃 肉 。<br /><br />tā chīsù. tā bùchī ròu.<br /><br />He's a vegetarian. He doesn't eat meat.
船|我 搭過 飛機 、 巴士 和 火車 旅行 。 改天 我 要搭 船 旅行 。<br /><br />wǒ dāguò fēijī, bāshì hàn huǒchē lǚxíng. gǎitiān wǒ yàodā chuán lǚxíng.<br /><br />I've traveled by plane, bus, and train. Someday, I want to take a trip by boat.
繼|我 不介意 繼續 等待。<br /><br />wǒ bújièyì jìxù děngdài.<br /><br />I don't mind being kept waiting.
尚|尚 在 這 旅館 工作 。 他 很喜歡 這 工作 。<br /><br />shàng zài zhè lǚguǎn gōngzuò. tā hěnxǐhuān zhè gōngzuò.<br /><br />Jean works in a hotel now. He likes his job a lot.
察|在 工廠 做 監督 工作 的 人 叫做 「工廠督 察」。<br /><br />zài gōngchǎng zuò jiāndū gōngzuò de· rén jiàozuò 「gōngchǎngdūchá」.<br /><br />Someone whose job is to inspect factories is a factory inspector.
雨|在 下雨 。<br /><br />zài xiàyǔ.<br /><br />It's raining.
優|我們 在 離開 旅館 的時候 遇到 優子 。<br /><br />wǒmen zài líkāi lǚguǎn de·shíhòu yùdào yōuzǐ.<br /><br />We met Yuko as we were leaving the hotel.
您|可以 請 你 等一下 嗎 ？ 可以 麻煩 您 等一下 嗎 ？<br /><br />kěyǐ qǐng nǐ děngyíxià mā? kěyǐ máfán nín děngyíxià mā?<br /><br />Can you wait a minute, please? > Could you wait a moment, please?
險|他們的 處境 很危險 。 他們 一定 要小心 。<br /><br />tāmende· chǔjìng hěnwéixiǎn. tāmen yídìng yàoxiǎoxīn.<br /><br />They were in a dangerous situation. They had to be careful.
擔|如果 你 很擔心 ， 那 就 不要 光說 不做 。<br /><br />rúguǒ nǐ hěndānxīn, nà jiù búyào guāngshuō búzuò.<br /><br />If you're worried about it, don't just sit there, do something about it.
散|你 要不要去 散步 ？<br /><br />nǐ yàobúyàoqù sànbù?<br /><br />Would you like to go out for a walk?
板|她 坐在 地板上 。<br /><br />tā zuòzài dìbǎnshàng.<br /><br />She's sitting on the floor.
鐘|時鐘 壞了 嗎 ？<br /><br />shízhōng huàile· mā?<br /><br />Does the clock work?
訪|我 上個 禮拜 去 拜訪 她 。<br /><br />wǒ shàngge· lǐbài qù bàifǎng tā.<br /><br />I visited her last week.
妹|我 妹妹 是 護士 。<br /><br />wǒ mèimei· shì hùshì.<br /><br />My sister's a nurse.
伸|但 那個 男人 把手 伸進 口袋 ， 所以 警察 對 他 開槍 。<br /><br />dàn nàge· nánrén bǎshǒu shēnjìn kǒudài, suǒyǐ jǐngchá duì tā kāiqiāng.<br /><br />But the man reached for his pockets, and that's when the police started shooting at him.
佛|佛羅倫亭 在 銀行 工作 。 她 在 銀行 工作 五 年 了 。<br /><br />fúluólúntíng zài yínháng gōngzuò. tā zài yínháng gōngzuò wǔnián le·.<br /><br />Florentine works in a bank. She's worked in a bank for five (5) years.
討|總統 持續 討論了 好幾個 小時 。<br /><br />zǒngtǒng chíxù tǎolùnle· hǎojǐge· xiǎoshí.<br /><br />The president went on talking for hours.
搖|我 喜歡 搖滾樂 。<br /><br />wǒ xǐhuān yáogǔnyuè.<br /><br />I like rock and roll music.
跳|他 跳舞 。<br /><br />tā tiàowǔ.<br /><br />He dances.
練|你 有 很多的 機會 來練習 你的 外語 嗎 ？<br /><br />nǐ yǒu hěnduōde· jīhuì láiliànxí nǐde· wàiyǔ mā?<br /><br />Do you have much opportunity to practice your foreign language?
構|他 非常 慷慨地 捐了 一半的 財產 給 慈善機構 。<br /><br />tā fēicháng kāngkǎide· juānle· yíbànde· cáichǎn gěi císhànjīgòu.<br /><br />He donated half his wealth to charity, which was very generous of him.
玩|我 玩得 很開心。 — 我 也是。<br /><br />wǒ wándé hěnkāixīn. — wǒ yěshì.<br /><br />I had a good time. — I did, too.
犯|我 犯錯了 。 我 犯了 一個 錯 。<br /><br />wǒ fàncuòle·. wǒ fànle· yīge· cuò.<br /><br />I made a mistake. > I've made a mistake.
廠|這家 工廠的 產品 大部分 都 出口 。<br /><br />zhèjiā gōngchǎngde· chǎnpǐn dàbùfēn dōu chūkǒu.<br /><br />Most of the goods made in this factory are exported.
肯|肯亞 是 東非的 國家 。<br /><br />kěnyǎ shì dōngfēide· guójiā.<br /><br />Kenya is a country in East Africa.
協|這兩間 公司 一起 完成了 合作 協議 。<br /><br />zhèliǎngjiān gōngsī yìqǐ wánchéngle· hézuò xiéyì.<br /><br />The two (2) companies worked out a cooperation agreement.
幸|幸運的 是 我們 有 地圖 ， 這樣 我們 就 不會 迷路了 。<br /><br />xìngyùnde· shì wǒmen yǒu dìtú, zhèyàng wǒmen jiù búhuì mílùle·.<br /><br />Fortunately, we had a map that we would have gotten lost without.
揮|我 向 公車上的 孩子們 揮了 揮手 ， 他們 也 朝著 我 揮手 。<br /><br />wǒ xiàng gōngchēshàngde· háizǐmen huīle· huīshǒu, tāmen yě cháozhe· wǒ huīshǒu.<br /><br />I waved to the children on the bus, and they waved back.
封|在 你 去 上班 的 路上 ， 請 記得寄出 這封 信 。<br /><br />zài nǐ qù shàngbān de· lùshàng, qǐng jìdéjìchū zhèfēng xìn.<br /><br />Please remember to mail the letter on your way to work.
溫|昨天 天氣 很好。 很溫暖 ，而且 有出 太陽 。<br /><br />zuótiān tiānqì hěnhǎo. hěnwēnnuǎn, érqiě yǒuchū tàiyáng.<br /><br />It was a nice day yesterday. It was warm and sunny.
疑|海關 用 很懷疑的 眼神 看著 我 ， 叫 我 打開 我的 行李 。<br /><br />hǎiguān yòng hěnhuáiyíde· yǎnshén kànzhe· wǒ, jiào wǒ dǎkāi wǒde· xínglǐ.<br /><br />The customs officer looked at me suspiciously and asked me to open my bag.
肉|繁  我 小時候都 不吃 肉的 ， 但 現在 吃了 。<br /><br />wǒ xiǎoshíhòudōu bùchī ròude·, dàn xiànzài chīle·.<br /><br />When I was a child, I never used to eat meat, but I eat it now.
攻|如果 有人 攻擊 你 ， 你 必須要能夠 為 自己 辯護 。<br /><br />rúguǒ yǒurén gōngjí nǐ, nǐ bìxūyàonénggòu wèi zìjǐ biànhù.<br /><br />If somebody attacks you, you need to be able to defend yourself.
紙|他 在看 報紙 。<br /><br />tā zàikàn bàozhǐ.<br /><br />He's reading the newspaper.
策|討論完 經濟議題後 ， 總統 繼續 談論 外交政 策 。<br /><br />tǎolùnwán jīngjìyìtíhòu, zǒngtǒng jìxù tánlùn wàijiāozhèngcè.<br /><br />After discussing the economy, the president then went on to talk about foreign policy.
充|我的 手機 需要 充電 。<br /><br />wǒde· shǒujī xūyào chōngdiàn.<br /><br />My cellphone needs to be charged. > My cellphone needs charging.
頂|那邊 有 一個 男人 在 屋頂上 。<br /><br />nàbiān yǒu yīge· nánrén zài wūdǐngshàng.<br /><br />There's a man on the roof.
尋|調查 這起 犯罪事件 的 警察 正在 尋找 三位 男子 。<br /><br />tiáochá zhèqǐ fànzuìshìjiàn de· jǐngchá zhèngzài xúnzhǎo sānwèi nánzǐ.<br /><br />Police investigating the crime are looking for three.
寧|我 寧可站著 。<br /><br />wǒ níngkězhànzhe·.<br /><br />I'd rather stand than sit.
沙|我們 一整天都 待在 沙灘上 。<br /><br />wǒmen yìzhěngtiāndōu dàizài shātānshàng.<br /><br />We spent all day at the beach.
防|你 應該 隨時 存檔 ， 以防 電腦 突然 當機 。<br /><br />nǐ yīnggāi suíshí cúndàng, yǐfáng diànnǎo tūrán dàngjī.<br /><br />You should always save your files as you're working on them just in case your computer crashes.
賣|這個 大賣場 是 二十年前 蓋的 。<br /><br />zhège· dàmàichǎng shì èrshíniánqián gàide·.<br /><br />The shopping mall was built about twenty (20) years ago.
順|如果 你 失業 ， 很多 事情 會跟著 不順利 ， 但 你 有 工作 什麼都 會 不錯 。<br /><br />rúguǒ nǐ shīyè, hěnduō shìqíng huìgēnzhe· bùshùnlì, dàn nǐ yǒu gōngzuò shémedōu huì búcuò.<br /><br />Life is all right if you have a job, but things are not so easy for the unemployed.
警|有人 警告 我 不要碰 這個 開關 。<br /><br />yǒurén jǐnggào wǒ búyàopèng zhège· kāiguān.<br /><br />I was warned not to touch the switch.
夢|我 浪費 很多 時間 在做 白日夢 。<br /><br />wǒ làngfèi hěnduō shíjiān zàizuò báirìmèng.<br /><br />I waste a lot of time daydreaming.
劇|我們 今天晚上 要去 劇院 。 我們 有 票 。<br /><br />wǒmen jīntiānwǎnshàng yàoqù jùyuàn. wǒmen yǒu piào.<br /><br />We're going to the theater tonight. We've got tickets.
善|我 有 一些 同事 不太友善 。<br /><br />wǒ yǒu yìxiē tóngshì bútàiyǒushàn.<br /><br />Some of the people I work with are not very friendly.
蒙|你 去過 蒙特婁 嗎 ？— 從來 沒有 。<br /><br />nǐ qùguò méngtèlóu mā? — cónglái méiyǒu.<br /><br />Have you ever been to Montreal? — No, never.
票|她 想去 音樂會 ， 但是 她 沒有 票 。<br /><br />tā xiǎngqù yīnyuèhuì, dànshì tā méiyǒu piào.<br /><br />She wants to go to the concert, but she doesn't have a ticket.
良|防曬霜 可以保護 肌膚 ， 免 受 陽光中的 紫外 線 照射 所產生的 不良影響 。<br /><br />fángshàishuāng kěyǐbǎohù jīfū, miǎn shòu yángguāngzhōngde· zǐwàixiàn zhàoshè suǒchǎnshēngde· bùliángyǐngxiǎng.<br /><br />Sunblock protects the skin from the harmful effects of the sun's ultraviolet (UV) rays.
範|有人 可以 示範 怎麼 換 印表機的 墨水夾 嗎 ？— 當然 ， 我 來 。<br /><br />yǒurén kěyǐ shìfàn zěnme huàn yìnbiǎojīde· mòshuǐjiā mā? — dāngrán, wǒ lái.<br /><br />Can somebody show me how to change the cartridge in this printer? — Sure, I will.
堅|我 想待在 家 ， 但是 我 朋友都 堅持 要 我 來 。<br /><br />wǒ xiǎngdàizài jiā, dànshì wǒ péngyǒudōu jiānchí yào wǒ lái.<br /><br />I wanted to stay home, but my friends insisted on my coming.
靠|我 在 飛機上的 位子 是 靠 走道的 。<br /><br />wǒ zài fēijīshàngde· wèizǐ shì kào zǒudàode·.<br /><br />I had an aisle seat ON the plane. > I had an aisle seat ON the flight.
雜|我 買了 一本 雜誌 。<br /><br />wǒ mǎile· yìběn zázhì.<br /><br />I bought a magazine.
貴|食物 好貴 。 要花 好多 錢 。<br /><br />shíwù hǎoguì. yàohuā hǎoduō qián.<br /><br />Food is expensive. It costs a lot of money.
怒|其實 ， 他的 姐姐 聽到 這個 消息 更 是 憤怒 。<br /><br />qíshí, tāde· jiějie· tīngdào zhège· xiāoxí gèng shì fènnù.<br /><br />In fact, his sister was even more furious when she heard it.
拍|他 在拍照 嗎 ？<br /><br />tā zàipāizhào mā?<br /><br />Is he taking a photograph?
舊|把 舊的 麵包 放在 庭院 那 ， 小鳥 會來吃 。<br /><br />bǎ jiùde· miànbāo fàngzài tíngyuàn nà, xiǎoniǎo huìláichī.<br /><br />Leave the old bread in the yard. The birds will eat it.
掉|小心 ！不要 掉下去了！<br /><br />xiǎoxīn! búyào diàoxiàqùle·!<br /><br />Be careful! Don't fall!
莫|克姆林宮 在 莫斯科 。<br /><br />kèmǔlíngōng zài mòsīkē.<br /><br />The Kremlin is in Moscow.
守|腳踏車 跟 車子 一樣 都必須要 遵守 交通規則 。<br /><br />jiǎotàchē gēn chēzǐ yíyàng dōubìxūyào zūnshǒu jiāotōngguīzé.<br /><br />Bicyclists must follow the same traffic rules as drivers.
油|我 在 下班 回家的 路上 停車 加油 。<br /><br />wǒ zài xiàbān huíjiāde· lùshàng tíngchē jiāyóu.<br /><br />I stopped to get gas on the way home from work.
恩|我 叫 布萊恩。<br /><br />wǒ jiào bùláiēn.<br /><br />I'm Brian.
積|他的 工作態度 很積極 ， 所以 他 每個月 都 加薪 。<br /><br />tāde· gōngzuòtàidù hěnjījí, suǒyǐ tā měige·yuè dōu jiāxīn.<br /><br />His attitude toward his job is so positive that he increases his sales every month.
哭|你 怎麼 在哭 ？<br /><br />nǐ zěnme zàikū?<br /><br />Why are you crying?
罷|今天 沒有 火車 可以搭 ， 因為 所有的 鐵路 工人 都 罷工 。<br /><br />jīntiān méiyǒu huǒchē kěyǐdā, yīnwèi suǒyǒude· tiělù gōngrén dōu bàgōng.<br /><br />There's no train service today because all the railroad workers are ON strike.
庭|這 房子 不錯 ， 但 沒有 大的 庭院 。<br /><br />zhè fángzǐ búcuò, dàn méiyǒu dàde· tíngyuàn.<br /><br />It's a nice house but it doesn't have a big yard.
窗|窗戶 破了 。<br /><br />chuānghù pòle·.<br /><br />The window is broken.
忘|我們 離開時 ， 不要忘記關 燈 。<br /><br />wǒmen líkāishí, búyàowàngjìguān dēng.<br /><br />We must not forget to turn off the lights when we leave.
午|我 下午 會打給 你 。<br /><br />wǒ xiàwǔ huìdǎgěi nǐ.<br /><br />I'll call you sometime during the afternoon.
卡|我 沒開過 卡車 。<br /><br />wǒ méikāiguò kǎchē.<br /><br />I've never driven a truck.
雪|在下雪 嗎 ？— 沒有 ， 沒在下 。<br /><br />zàixiàxuě mā? — méiyǒu, méizàixià.<br /><br />Is it snowing? — No, it isn't.
菜|我 還沒 去買 菜 ， 我 晚點 去 。<br /><br />wǒ háiméi qùmǎi cài, wǒ wǎndiǎn qù.<br /><br />I haven't done the shopping yet. I'll do it later.
牌|我 買了 一台 新車 。— 真的 嗎 ？ 哪個 牌子 的 ？<br /><br />wǒ mǎile· yìtái xīnchē. — zhēnde· mā? nǎge· páizǐde·?<br /><br />I've bought a new car. — You have? What kind is it?
牛|奶油 是 牛奶 做成的 。<br /><br />nǎiyóu shì niúnǎi zuòchéngde·.<br /><br />Butter is made from milk.
脫|在 進來 我家 之前 請 先 脫掉 你的 鞋子 ， 並且 要 小心 不要 吵醒了 寶寶 。<br /><br />zài jìnlái wǒjiā zhīqián qǐng xiān tuōdiào nǐde· xiézǐ, bìngqiě yào xiǎoxīn búyào chǎoxǐngle· bǎobǎo.<br /><br />Take your shoes off before coming inside my house, and please don't wake the baby up.
博|我們 沒有 去看 博物館 。時間 不夠 。<br /><br />wǒmen méiyǒu qùkàn bówùguǎn. shíjiān búgòu.<br /><br />We didn't visit the museum. There wasn't enough time.
丈|「寡婦 」 是 指 丈夫 已經 過世的 女性。<br /><br />「guǎfù 」 shì zhǐ zhàngfū yǐjīng guòshìde· nǚxìng.<br /><br />A widow is a woman whose husband has already passed away.
彈|他 沒有 在 彈 吉他 。<br /><br />tā méiyǒu zài tán jítā.<br /><br />He's not playing the guitar.
洲|她 跟 我 說 她 明年 想去 南美洲。 > 她 跟 我 說 她 本來 明年 想去 南美洲。<br /><br />tā gēn wǒ shuō tā míngnián xiǎngqù nánměizhōu. > tā gēn wǒ shuō tā běnlái míngnián xiǎngqù nánměizhōu.<br /><br />She told me that she wants to go to South America next year. > She told me that she wanted to go to South America next year.
松|我的 哥哥 去年 跑了 波士頓 馬拉松 。 你 有 跑過 馬拉松 嗎 ？<br /><br />wǒde· gēgē qùnián pǎole· bōshìdùn mǎlāsōng. nǐ yǒupǎoguò mǎlāsōng mā?<br /><br />My brother ran in the Boston Marathon last year. Have you ever run in a marathon?
壞|車子 被 破壞了 。<br /><br />chēzǐ bèi pòhuàile·.<br /><br />The car's been damaged. > The car got damaged.
鮮|我 要把 窗戶 打開 ， 讓 新鮮 空氣 進來 。<br /><br />wǒ yàobǎ chuānghù dǎkāi, ràng xīnxiān kōngqì jìnlái.<br /><br />I'm going to open a window to get some fresh air.
短|我 覺得 你 應該把 頭髮 剪得 很短 。<br /><br />wǒ juéde nǐ yīnggāibǎ tóufǎ jiǎndé hěnduǎn.<br /><br />I think you should get your hair cut really short.
畢|等 我 高中畢業 ， 我 要上 大學 。<br /><br />děng wǒ gāozhōngbìyè, wǒ yàoshàng dàxué.<br /><br />When I finish high school, I want to go to college.
楚|我 知道 我 有 鎖 門 ， 我 清楚的 記得 我 有 鎖上 它 。 我 鎖了 門 ， 但 卻 忘了關 窗戶 。<br /><br />wǒ zhīdào wǒ yǒu suǒ mén, wǒ qīngchǔde· jìdé wǒ yǒusuǒshàng tā. wǒ suǒle· mén, dàn què wàngle·guān chuānghù.<br /><br />I know I locked the door. I clearly remember locking it. > I remembered to lock the door, but I forgot to shut the windows.
歐|瑞典 是 一個 北歐 國家。<br /><br />ruìdiǎn shì yīge· běiōu guójiā.<br /><br />Sweden is a country in northern Europe.
智|問 他 ， 他 有 沒有 智慧型手機 。— 沒有 ， 他 沒有 智慧型手機 。<br /><br />wèn tā, tā yǒu méiyǒu zhìhuìxíngshǒujī. — méiyǒu, tā méiyǒu zhìhuìxíngshǒujī.<br /><br />Ask if he has a smart phone. — No, he hasn't got a smart phone.
島|我們 要去的 飯店 位在 湖中的 一個 小島 。<br /><br />wǒmen yàoqùde· fàndiàn wèizài húzhōngde· yīge· xiǎodǎo.<br /><br />The hotel we're going to is on a small island in the middle of a lake.
抗|一些 舊房子 必須 拆除 ， 將 空間 拿來 蓋 新 房子 。 這些 屋主 試著去 抗爭 ， 但 無濟於 事 。<br /><br />yìxiē jiùfángzǐ bìxū chāichú, jiāng kōngjiān nálái gài xīnfángzǐ. zhèxiē wūzhǔ shìzhe·qù kàngzhēng, dàn wújìyúshì.<br /><br />Some old houses were torn down to make room for a new housing development. The owners of the houses tried to protest, but it was to no avail.
妻|繁  那對 老夫妻 在 公園 散步 。<br /><br />nàduì lǎofūqī zài gōngyuán sànbù.<br /><br />The old couple were in the park taking a walk.
抱|我 很 想幫 你 ， 但 很抱歉 我 不行 。<br /><br />wǒ hěn xiǎngbāng nǐ, dàn hěnbàoqiàn wǒ bùxíng.<br /><br />I would like to help you, but I'm sorry I can't.
載|載 我們 去 機場的 計程車 壞掉了 。<br /><br />zài wǒmen qù jīchǎngde· jìchéngchē huàidiàole·.<br /><br />The taxi taking us to the airport broke down.
敗|他們 還是 無法 與 對方 相處 ， 最後 還是 以 失敗 告終 。<br /><br />tāmen háishì wúfǎ yǔ duìfāng xiāngchù, zuìhòu háishì yǐ shībài gàozhōng.<br /><br />They couldn't get along with each other, so the relationship didn't work out in the end.
槍|但 那個 男人 把手 伸進 口袋 ， 所以 警察 對 他 開槍 。<br /><br />dàn nàge· nánrén bǎshǒu shēnjìn kǒudài, suǒyǐ jǐngchá duì tā kāiqiāng.<br /><br />But the man reached for his pockets, and that's when the police started shooting at him.
適|他們 還不到 適婚 年齡 。<br /><br />tāmen háibúdào shìhūn niánlíng.<br /><br />They're too young to get married. > They're not old enough to get married.
預|我 朋友 比 我 預期的 還早 到 。<br /><br />wǒ péngyǒu bǐ wǒ yùqíde· háizǎo dào.<br /><br />My friends arrived earlier than I expected.
睛|我的 眼睛 是 藍色的 。<br /><br />wǒde· yǎnjīng shì lánsède·.<br /><br />I have blue eyes. > I've got blue eyes.
介|你 介意關 門 嗎 ？<br /><br />nǐ jièyìguān mén mā?<br /><br />Would you mind closing the door?
銷|我 不想討論 行銷的 問題 了 ， 讓 我們 來看 看 生產上的 狀況 。<br /><br />wǒ bùxiǎngtǎolùn xíngxiāode· wèntí le·, ràng wǒmen láikànkàn shēngchǎnshàngde· zhuàngkuàng.<br /><br />I don't want to keep going on discussing marketing, let's move on to the production issues.
降|因為 銷售 劇降 ， 公司 這年的 表現 並不好。<br /><br />yīnwèi xiāoshòu jùjiàng, gōngsī zhèniánde· biǎoxiàn bìngbùhǎo.<br /><br />It was a bad year for the company as it faced a huge drop IN sales.
魚|路克 不吃 肉 。— 他 不吃 嗎 ？ 那 他 吃 魚 嗎 ？<br /><br />lùkè bùchī ròu. — tā bùchī mā? nà tā chī yú mā?<br /><br />Luka doesn't eat meat. — He doesn't? Does he eat fish?
奔|你 總是 四處 奔波 。 你 為什麼 不坐下來 放 鬆一下 ？<br /><br />nǐ zǒngshì sìchù bēnbō. nǐ wèishéme búzuòxiàlái fàngsōngyíxià?<br /><br />You're always rushing around. Why don't you sit down and relax?
忍|她 試著 想 嚴肅一點 ， 但是 她 忍不住 笑了 出來 。<br /><br />tā shìzhe· xiǎng yánsùyìdiǎn, dànshì tā rěnbúzhù xiàole·chūlái.<br /><br />She tried to be serious, but she couldn't help laughing.
宗|這宗 謀殺案 到底 是 怎麼 回事 ？ 警察 最後 找到 兇手 了 嗎 ？<br /><br />zhèzōng móushāàn dàodǐ shì zěnme huíshì? jǐngchá zuìhòu zhǎodào xiōngshǒu le· mā?<br /><br />Whatever happened to that murder case? Did the police end up finding the killer?
訊|如果 你 需要 更多 資訊 可以 跟 我 說 。<br /><br />rúguǒ nǐ xūyào gèngduō zīxùn kěyǐ gēn wǒ shuō.<br /><br />Let me know if you need more information.
配|電影 沒有 很好看 ， 但 我 喜歡 它的 配樂 。<br /><br />diànyǐng méiyǒu hěnhǎokàn, dàn wǒ xǐhuān tāde· pèilè.<br /><br />The movie itself wasn't very good, but I loved the music.
禁|我 不喜歡 他 ， 但 他 遇到 很多 困難 ， 不 禁 要同情 他 。<br /><br />wǒ bùxǐhuān tā, dàn tā yùdào hěnduō kùnnán, bújìn yàotóngqíng tā.<br /><br />I don't like him, but he has a lot of problems. I can't help feeling sorry for him.
索|你 跟 法索 常 看 電視 嗎 ？— 我 常 看 ， 但 他 不常 看 。<br /><br />nǐ gēn fǎsuǒ cháng kàn diànshì mā? — wǒ cháng kàn, dàn tā bùcháng kàn.<br /><br />Do you and Fausto watch TV a lot? — I do, but he doesn't.
架|本來 有 一些 書 在 書架上 。<br /><br />běnlái yǒu yìxiē shū zài shūjiàshàng.<br /><br />There were some books on the shelves.
燈|你 想要 我 開燈 嗎 ？— 不用 ， 燈 關著 就 好了 。<br /><br />nǐ xiǎngyào wǒ kāidēng mā? — búyòng, dēng guānzhe· jiùhǎole·.<br /><br />Do you want me to turn on the light? — No, leave the light off.
狀|我 不知道 我 幾點 會到 家 ， 因為 那 要 視 交通狀況 而定 。<br /><br />wǒ bùzhīdào wǒ jǐdiǎn huìdào jiā, yīnwèi nà yào shì jiāotōngzhuàngkuàng érdìng.<br /><br />I don't know when I'll get home, as it depends on traffic conditions.
款|警方 始終 沒有 找到 搶案 的 贓款 。<br /><br />jǐngfāng shǐzhōng méiyǒu zhǎodào qiǎngàn de· zāngkuǎn.<br /><br />The police never found the money stolen in the robbery.
移|我們 已經 決定 不移民 澳洲 了 。<br /><br />wǒmen yǐjīng juédìng bùyímín àozhōu le·.<br /><br />We've decided against moving to Australia.
爸|你爸爸 好 嗎 ？<br /><br />nǐbàba· hǎo mā?<br /><br />How's your father?
托|山托 住在 米蘭 ， 對 吧 ？— 對 ， 沒錯 。<br /><br />shāntuō zhùzài mǐlán, duì ba·? — duì, méicuò.<br /><br />Santo lives in Milan, doesn't he? — Yes, that's right.
升|她 從來 沒有 搭過 直升機 。<br /><br />tā cónglái méiyǒu dāguò zhíshēngjī.<br /><br />She's never flown in a helicopter.
訂|我 爸媽 在 預訂的 班機 起飛前 兩個 小時 送 我 到 機場 。<br /><br />wǒ bàmā zài yùdìngde· bānjī qǐfēiqián liǎngge· xiǎoshí sòng wǒ dào jīchǎng.<br /><br />My parents dropped me off at the airport two (2) hours before my flight was scheduled to take off.
鎮|我 最近 回到 那個 我長大的 小鎮 。<br /><br />wǒ zuìjìn huídào nàge· wǒzhǎngdàde· xiǎozhèn.<br /><br />I recently went back to the town where I grew up.
床|我 通常 七點前 起床 。<br /><br />wǒ tōngcháng qīdiǎnqián qǐchuáng.<br /><br />I often get up before seven (7:00).
互|警察 要問 我們 很多 問題 ， 所以 我們 需要 互相 串通好。<br /><br />jǐngchá yàowèn wǒmen hěnduō wèntí, suǒyǐ wǒmen xūyào hùxiāng chuàntōnghǎo.<br /><br />The police are going to ask us a lot of questions, so we need to back each other up.
套|這 是 你的 外套 。<br /><br />zhè shì nǐde· wàitào.<br /><br />Here's your coat.
旅|她 世界 各地 旅行過 。<br /><br />tā shìjiè gède· lǚxíngguò.<br /><br />She's traveled all over the world.
逃|他 試著 在逃避 我的 問題 。<br /><br />tā shìzhe· zàitáobì wǒde· wèntí.<br /><br />He tried to avoid answering my question.
輸|沒有 ， 我 輸了 。<br /><br />méiyǒu, wǒ shūle·.<br /><br />No, I lost.
唱|繁  有人 在唱歌 。<br /><br />yǒurén zàichànggē.<br /><br />Somebody's singing.
秘|「神秘」 就是 無法 被 解釋的 事情。<br /><br />「shénmì」 jiùshì wúfǎ bèi jiěshìde· shìqíng.<br /><br />A mystery is something that cannot be explained.
詞|英文的 詞彙 很多 。<br /><br />yīngwénde· cíhuì hěnduō.<br /><br />English has a lot of vocabulary.
困|這個 困難的 問題 等著 我 去 解答 。<br /><br />zhège· kùnnánde· wèntí děngzhe· wǒ qù jiědá.<br /><br />This is a difficult question for me to answer.
熟|這些 蘋果 還不夠 熟 ， 不能吃 。<br /><br />zhèxiē píngguǒ háibúgòu shóu, bùnéngchī.<br /><br />These apples aren't ripe enough to eat.
財|維克 借了 太多 錢 讓 自己 陷入了 財務困境 。<br /><br />wéikè jièle· tàiduō qián ràng zìjǐ xiànrùle· cáiwùkùnjìng.<br /><br />Victor got himself into financial trouble by borrowing too much money.
