#front|back
今天 天氣 不錯 。|The weather's nice today.<br /><br />今天 天氣 不錯 。<br /><br />jīntiān tiānqì búcuò.
我 想吃 水餃 。|I'd like some dumplings, please.<br /><br />我 想吃 水餃 。<br /><br />wǒ xiǎngchī shuǐjiǎo.
你 喜歡 什麼樣的 音樂 呢 ？|What kind of music do you like?<br /><br />你 喜歡 什麼樣的 音樂 呢 ？<br /><br />nǐ xǐhuān shémeyàngde· yīnyuè nē?
姬媛 喜歡坐 在 地板上 。 她 不喜歡坐 椅子 。|Heuiyeon likes to sit on the floor. She doesn't want to sit on a chair.<br /><br />姬媛 喜歡坐 在 地板上 。 她 不喜歡坐 椅子 。<br /><br />jīyuàn xǐhuānzuò zài dìbǎnshàng. tā bùxǐhuānzuò yǐzǐ.
我 寧願坐 在 地板上 。 我 比較 想坐 地板上 。|I'd rather sit on the floor. > I would prefer to sit on the floor.<br /><br />我 寧願坐 在 地板上 。 我 比較 想坐 地板上 。<br /><br />wǒ níngyuànzuò zài dìbǎnshàng. wǒ bǐjiào xiǎngzuò dìbǎnshàng.
我 沒有 很 想出去 。 我 比較 想待在 家 。|I don't really want to go out. I'd rather stay at home.<br /><br />我 沒有 很 想出去 。 我 比較 想待在 家 。<br /><br />wǒ méiyǒu hěn xiǎngchūqù. wǒ bǐjiào xiǎngdàizài jiā.
我們 該走了 吧 ？— 等一下 ， 我 想 晚一點 走 。|Should we go now? — No, not yet. I'd rather wait until later.<br /><br />我們 該走了 吧 ？— 等一下 ， 我 想 晚一點 走 。<br /><br />wǒmen gāizǒule· ba·? — děngyíxià, wǒ xiǎng wǎnyìdiǎn zǒu.
我 想 現在 走 ， 但是 蓋瑞 想要等 晚一點 才 走 。|I'd like to go now, but Gary would rather wait until later.<br /><br />我 想 現在 走 ， 但是 蓋瑞 想要等 晚一點 才 走 。<br /><br />wǒ xiǎng xiànzài zǒu, dànshì gàiruì xiǎngyàoděng wǎnyìdiǎn cáizǒu.
我 不喜歡 遲到 。 我 寧可 早到 。|I don't like to be late. I'd rather be early.<br /><br />我 不喜歡 遲到 。 我 寧可 早到 。<br /><br />wǒ bùxǐhuān chídào. wǒ níngkě zǎodào.
我 覺得 好累 ， 我 晚上 不想出去 啊 。|I'm feeling tired. I'd rather not go out tonight.<br /><br />我 覺得 好累 ， 我 晚上 不想出去 啊 。<br /><br />wǒ juéde hǎolèi, wǒ wǎnshàng bùxiǎngchūqù a.
志祥 覺得 很累 ， 他 晚上 不想出去 啊 。|Jisang is feeling tired. He'd rather not go out tonight.<br /><br />志祥 覺得 很累 ， 他 晚上 不想出去 啊 。<br /><br />zhìxiáng juéde hěnlèi, tā wǎnshàng bùxiǎngchūqù a.
我們 不餓 ， 我們 還 不想吃 。|We're not hungry. We'd rather not eat yet.<br /><br />我們 不餓 ， 我們 還 不想吃 。<br /><br />wǒmen búè, wǒmen hái bùxiǎngchī.
你 晚上 想出去 嗎 ？— 不想 。|Would you like to go out tonight? — I'd rather not.<br /><br />你 晚上 想出去 嗎 ？— 不想 。<br /><br />nǐ wǎnshàng xiǎngchūqù mā? — bùxiǎng.
你 想喝 牛奶 還是 果汁 ？— 果汁 吧 。|Would you rather have milk or juice? — Juice, please.<br /><br />你 想喝 牛奶 還是 果汁 ？— 果汁 吧 。<br /><br />nǐ xiǎnghē niúnǎi háishì guǒzhī? — guǒzhī ba·.
你 比較 想去看 電影 還是 在 家 看 DVD？|Which would you rather do: go to the movies or watch a DVD at home?<br /><br />你 比較 想去看 電影 還是 在 家 看 DVD？<br /><br />nǐ bǐjiào xiǎngqùkàn diànyǐng háishì zài jiā kàn DVD?
我 寧可站著 。|I'd rather stand than sit.<br /><br />我 寧可站著 。<br /><br />wǒ níngkězhànzhe·.
潔西卡 不想出去 。|Jessica would rather not go out.<br /><br />潔西卡 不想出去 。<br /><br />jiéxīkǎ bùxiǎngchūqù.
我 寧可坐著 。|I'd prefer to sit than stand.<br /><br />我 寧可坐著 。<br /><br />wǒ níngkězuòzhe·.
我 比較 想要 坐著 。|I'd prefer to sit rather than stand.<br /><br />我 比較 想要 坐著 。<br /><br />wǒ bǐjiào xiǎngyào zuòzhe·.
志榮 不想出去 。|Zhirong would prefer not to go out.<br /><br />志榮 不想出去 。<br /><br />zhìróng bùxiǎngchūqù.
我 不想待在 家 ， 比較 想要出門 。|I'd rather go out than stay home.<br /><br />我 不想待在 家 ， 比較 想要出門 。<br /><br />wǒ bùxiǎngdàizài jiā, bǐjiào xiǎngyàochūmén.
我 比較 想要 狗 ， 不想要 貓 。|I'd rather have a dog than a cat.<br /><br />我 比較 想要 狗 ， 不想要 貓 。<br /><br />wǒ bǐjiào xiǎngyào gǒu, bùxiǎngyào māo.
我們 比較 想去看 電影 ， 不想在 家 看 DVD。|We'd rather go to the movies than watch a DVD at home.<br /><br />我們 比較 想去看 電影 ， 不想在 家 看 DVD。<br /><br />wǒmen bǐjiào xiǎngqùkàn diànyǐng, bùxiǎngzài jiā kàn DVD.
我 現在 想要在 家 ， 不想要在 這裡 。|I'd rather be at home right now than here.<br /><br />我 現在 想要在 家 ， 不想要在 這裡 。<br /><br />wǒ xiànzài xiǎngyàozài jiā, bùxiǎngyàozài zhèlǐ.
你 不想看 電視 嗎 ？— 不想 ， 我 寧可看 小 說 。|Don't you want to watch TV? — No, I'd rather read my novel.<br /><br />你 不想看 電視 嗎 ？— 不想 ， 我 寧可看 小 說 。<br /><br />nǐ bùxiǎngkàn diànshì mā? — bùxiǎng, wǒ níngkěkàn xiǎoshuō.
想喝 茶 嗎 ？— 嗯 ， 如果 你 有 咖啡 的話 ， 我 想喝 咖啡 。|Would you like some tea? — Well, I'd rather have coffee if you have some.<br /><br />想喝 茶 嗎 ？— 嗯 ， 如果 你 有 咖啡 的話 ， 我 想喝 咖啡 。<br /><br />xiǎnghē chá mā? — ń, rúguǒ nǐ yǒu kāfēi de·huà, wǒ xiǎnghē kāfēi.
我們 該走了 嗎 ？— 我 比較 想等到 雨停 。|Should we go out now? — I'd rather wait until it stops raining.<br /><br />我們 該走了 嗎 ？— 我 比較 想等到 雨停 。<br /><br />wǒmen gāizǒule· mā? — wǒ bǐjiào xiǎngděngdào yǔtíng.
我們 要現在 吃 晚餐 嗎 ， 還是 等一下 ？|Should we have dinner now, or wait until later?<br /><br />我們 要現在 吃 晚餐 嗎 ， 還是 等一下 ？<br /><br />wǒmen yàoxiànzài chī wǎncān mā, háishì děngyíxià?
你 想喝 果汁 還是 水 ？|Would you like a glass of juice, or some water?<br /><br />你 想喝 果汁 還是 水 ？<br /><br />nǐ xiǎnghē guǒzhī háishì shuǐ?
你 想去看 電影 嗎 ？ 還是 看 電視 就 好？|Do you want to go to the movies, or just watch TV?<br /><br />你 想去看 電影 嗎 ？ 還是 看 電視 就 好？<br /><br />nǐ xiǎngqùkàn diànyǐng mā? háishì kàn diànshì jiù hǎo?
我們 要 今天晚上 打 電話 給 你 哥哥 ， 還是 你 覺得 要等到 明天早上 ？|Should we call your brother tonight, or would you rather wait until tomorrow morning?<br /><br />我們 要 今天晚上 打 電話 給 你 哥哥 ， 還是 你 覺得 要等到 明天早上 ？<br /><br />wǒmen yào jīntiānwǎnshàng dǎ diànhuà gěi nǐ gēgē, háishì nǐ juéde yàoděngdào míngtiānzǎoshàng?
我 今天晚上 比較 想要待在 家 。 我 不太 想 出去。|I'd rather stay home tonight. I'd prefer not to go out.<br /><br />我 今天晚上 比較 想要待在 家 。 我 不太 想 出去。<br /><br />wǒ jīntiānwǎnshàng bǐjiào xiǎngyàodàizài jiā. wǒ bútài xiǎngchūqù.
我們 要走路 回家 ， 還是 你 想要搭 計程車 ？|Should we walk home, or would you rather take a taxi?<br /><br />我們 要走路 回家 ， 還是 你 想要搭 計程車 ？<br /><br />wǒmen yàozǒulù huíjiā, háishì nǐ xiǎngyàodā jìchéngchē?
要我 跟 你 一起 去 還是 你 比較 想要 一個人 去 ？|Do you want me to come with you, or would you prefer to go alone?<br /><br />要我 跟 你 一起 去 還是 你 比較 想要 一個人 去 ？<br /><br />yàowǒ gēn nǐ yìqǐ qù háishì nǐ bǐjiào xiǎngyào yīge·rén qù?
怡婷 不想念 大學 。 她 寧可 先 工作 。|Yiting doesn't want to go to college. She'd rather get a job.<br /><br />怡婷 不想念 大學 。 她 寧可 先 工作 。<br /><br />yítíng bùxiǎngniàn dàxué. tā níngkě xiān gōngzuò.
需要我 幫忙 拿 行李箱 嗎 ？— 不用了 ， 謝 謝 。 我 自己 來 就 可以了 。|Can I help you with your suitcase? — No, thank you. I'd rather do it myself.<br /><br />需要我 幫忙 拿 行李箱 嗎 ？— 不用了 ， 謝 謝 。 我 自己 來 就 可以了 。<br /><br />xūyàowǒ bāngmáng ná xínglǐxiāng mā? — búyòngle·, xièxiè. wǒ zìjǐ lái jiù kěyǐle·.
我 不想打給 他 。 我 比較 想寫 電子郵件 給 他 。|I'd rather not call him. I'd prefer to write him an email.<br /><br />我 不想打給 他 。 我 比較 想寫 電子郵件 給 他 。<br /><br />wǒ bùxiǎngdǎgěi tā. wǒ bǐjiào xiǎngxiě diànzǐyóujiàn gěi tā.
你 比較 想當 公車司機 還是 機師 ？|Which would you prefer to be: a bus driver or an airplane pilot?<br /><br />你 比較 想當 公車司機 還是 機師 ？<br /><br />nǐ bǐjiào xiǎngdāng gōngchēsījī háishì jīshī?
我 想當 機師 ， 比較 不想當 公車司機 。|I'd rather be an airplane pilot than a bus driver.<br /><br />我 想當 機師 ， 比較 不想當 公車司機 。<br /><br />wǒ xiǎngdāng jīshī, bǐjiào bùxiǎngdāng gōngchēsījī.
你 比較 想當 記者 還是 學校老師 ？|Which would you prefer to be: a journalist or a school teacher?<br /><br />你 比較 想當 記者 還是 學校老師 ？<br /><br />nǐ bǐjiào xiǎngdāng jìzhě háishì xuéxiàolǎoshī?
我 想當 記者 ， 比較 不想當 學校老師 。|I'd rather be a journalist than a school teacher.<br /><br />我 想當 記者 ， 比較 不想當 學校老師 。<br /><br />wǒ xiǎngdāng jìzhě, bǐjiào bùxiǎngdāng xuéxiàolǎoshī.
你 比較 想要住在 大城市 還是 小鄉鎮 ？|Where would you prefer to live: in a big city or a small town?<br /><br />你 比較 想要住在 大城市 還是 小鄉鎮 ？<br /><br />nǐ bǐjiào xiǎngyàozhùzài dàchéngshì háishì xiǎoxiāngzhèn?
我 想住在 大城市 ， 比較 不想住 小鄉鎮 。|I'd rather live in a big city than a small town.<br /><br />我 想住在 大城市 ， 比較 不想住 小鄉鎮 。<br /><br />wǒ xiǎngzhùzài dàchéngshì, bǐjiào bùxiǎngzhù xiǎoxiāngzhèn.
你 比較 想要 小房子 還是 大房子 ？|Which would you prefer to have: a small house or a big one?<br /><br />你 比較 想要 小房子 還是 大房子 ？<br /><br />nǐ bǐjiào xiǎngyào xiǎofángzǐ háishì dàfángzǐ?
我 想住 大房子 ， 比較 不想住 小房子 。|I'd rather have a big house than a small one.<br /><br />我 想住 大房子 ， 比較 不想住 小房子 。<br /><br />wǒ xiǎngzhù dàfángzǐ, bǐjiào bùxiǎngzhù xiǎofángzǐ.
你 比較 想念 電子學 還是 哲學 ？|Which would you prefer to study: electronics or philosophy?<br /><br />你 比較 想念 電子學 還是 哲學 ？<br /><br />nǐ bǐjiào xiǎngniàn diànzǐxué háishì zhéxué?
我 想念 哲學 ， 比較 不想念 電子學 。|I'd rather study philosophy than electronics.<br /><br />我 想念 哲學 ， 比較 不想念 電子學 。<br /><br />wǒ xiǎngniàn zhéxué, bǐjiào bùxiǎngniàn diànzǐxué.
你 比較想看 足球比賽 還是 電影 ？|Which would you prefer to watch: a football game or a movie?<br /><br />你 比較想看 足球比賽 還是 電影 ？<br /><br />nǐ bǐjiàoxiǎngkàn zúqiúbǐsài háishì diànyǐng?
我 想看 電影 ， 比較 不想看 足球比賽 。|I'd rather watch a movie than a football game.<br /><br />我 想看 電影 ， 比較 不想看 足球比賽 。<br /><br />wǒ xiǎngkàn diànyǐng, bǐjiào bùxiǎngkàn zúqiúbǐsài.
快 過來看 這個 ！— 這 是 什麼 ？|Come here and look at this. — What is it?<br /><br />快 過來看 這個 ！— 這 是 什麼 ？<br /><br />kuài guòláikàn zhège·! — zhè shì shéme?
我 不想 跟 你 說話 。 走開 ！|I don't want to talk to you. Go away!<br /><br />我 不想 跟 你 說話 。 走開 ！<br /><br />wǒ bùxiǎng gēn nǐ shuōhuà. zǒukāi!
我 還沒 準備好。 請等 我 一下 。|I'm not ready yet. Please wait for me.<br /><br />我 還沒 準備好。 請等 我 一下 。<br /><br />wǒ háiméi zhǔnbèihǎo. qǐngděng wǒ yíxià.
請 安靜 。 我 需要 專心 。|Please be quiet. I'm trying to concentrate.<br /><br />請 安靜 。 我 需要 專心 。<br /><br />qǐng ānjìng. wǒ xūyào zhuānxīn.
旅途 愉快 ！|Have a good trip. Have a nice time. Have a good flight. Have fun!<br /><br />旅途 愉快 ！<br /><br />lǚtú yúkuài!
來吃 糖果 吧 ！|Here, have some candy.<br /><br />來吃 糖果 吧 ！<br /><br />láichī tángguǒ ba·!
小心 ！不要 掉下去了！|Be careful! Don't fall!<br /><br />小心 ！不要 掉下去了！<br /><br />xiǎoxīn! búyào diàoxiàqùle·!
請 不要走 。 在 這裡 陪 我 。|Please don't go. Stay here with me.<br /><br />請 不要走 。 在 這裡 陪 我 。<br /><br />qǐng búyàozǒu. zài zhèlǐ péi wǒ.
準時 到 這裡 。不要遲到。|Be here on time. Don't be late.<br /><br />準時 到 這裡 。不要遲到。<br /><br />zhǔnshí dào zhèlǐ. búyàochídào.
天氣 不錯 。 我們 出去 吧 。|It's a nice day. Let's go out.<br /><br />天氣 不錯 。 我們 出去 吧 。<br /><br />tiānqì búcuò. wǒmen chūqù ba·.
走 吧 ！ 我們 去 跳舞 。|Come on! Let's dance.<br /><br />走 吧 ！ 我們 去 跳舞 。<br /><br />zǒu ba·! wǒmen qù tiàowǔ.
好了 嗎 ？ 我們 走 吧 ！|Are you ready? Let's go.<br /><br />好了 嗎 ？ 我們 走 吧 ！<br /><br />hǎole· mā? wǒmen zǒu ba·!
我們 今天 晚餐 去吃點 魚 吧 。|Let's have fish for dinner tonight.<br /><br />我們 今天 晚餐 去吃點 魚 吧 。<br /><br />wǒmen jīntiān wǎncān qùchīdiǎn yú ba·.
我們 今天 晚上 要出去 嗎 ？— 不要， 我 很 累 。 我們 待在 家裡 吧 。|Should we go out tonight? — No, I'm tired. Let's stay home.<br /><br />我們 今天 晚上 要出去 嗎 ？— 不要， 我 很 累 。 我們 待在 家裡 吧 。<br /><br />wǒmen jīntiān wǎnshàng yàochūqù mā? — búyào, wǒ hěnlèi. wǒmen dàizài jiālǐ ba·.
天氣 很冷 。 我們 待在 家裡 ， 不要出去 吧 ！|It's cold. Let's not go out. Let's stay home.<br /><br />天氣 很冷 。 我們 待在 家裡 ， 不要出去 吧 ！<br /><br />tiānqì hěnlěng. wǒmen dàizài jiālǐ, búyàochūqù ba·!
我們 晚餐 不要吃 魚 ， 我們 吃 雞肉 吧 ！|Let's not have fish for dinner tonight. Let's have chicken.<br /><br />我們 晚餐 不要吃 魚 ， 我們 吃 雞肉 吧 ！<br /><br />wǒmen wǎncān búyàochī yú, wǒmen chī jīròu ba·!
我 跟 你 吵得 很累 。 我們 不要 再 這樣 了 。|I'm tired of arguing. Let's not do it any more.<br /><br />我 跟 你 吵得 很累 。 我們 不要 再 這樣 了 。<br /><br />wǒ gēn nǐ chǎodé hěnlèi. wǒmen búyào zài zhèyàng le·.
你 想去打 網球 嗎 ？— 不想 ， 我們 去 游泳 吧 。|Would you like to play tennis? — No, let's go for a swim.<br /><br />你 想去打 網球 嗎 ？— 不想 ， 我們 去 游泳 吧 。<br /><br />nǐ xiǎngqùdǎ wǎngqiú mā? — bùxiǎng, wǒmen qù yóuyǒng ba·.
你 想要走路 回家 嗎 ？— 不想 ， 我們 搭 公 車 吧 。|Do you want to walk home? — No, let's take the bus.<br /><br />你 想要走路 回家 嗎 ？— 不想 ， 我們 搭 公 車 吧 。<br /><br />nǐ xiǎngyàozǒulù huíjiā mā? — bùxiǎng, wǒmen dā gōngchē ba·.
要聽 音樂 嗎 ？— 不要， 我們 看 電影 吧 。|Shall I put some music on? — No, let's watch a movie.<br /><br />要聽 音樂 嗎 ？— 不要， 我們 看 電影 吧 。<br /><br />yàotīng yīnyuè mā? — búyào, wǒmen kàn diànyǐng ba·.
我們 要在 家 吃 晚餐 嗎 ？— 不要， 我們 去 餐廳 吧 。|Should we have dinner at home? — No, let's go to a restaurant.<br /><br />我們 要在 家 吃 晚餐 嗎 ？— 不要， 我們 去 餐廳 吧 。<br /><br />wǒmen yàozài jiā chī wǎncān mā? — búyào, wǒmen qù cāntīng ba·.
你 想要 現在 去 嗎 ？— 不要， 我們 再 等一 下 吧 。|Would you like to go now? — No, let's wait a while.<br /><br />你 想要 現在 去 嗎 ？— 不要， 我們 再 等一 下 吧 。<br /><br />nǐ xiǎngyào xiànzài qù mā? — búyào, wǒmen zài děngyíxià ba·.
我 該等 你 嗎 ？— 不用 ， 不用等 我 。|Shall I wait for you? — No, don't wait for me.<br /><br />我 該等 你 嗎 ？— 不用 ， 不用等 我 。<br /><br />wǒ gāiděng nǐ mā? — búyòng, búyòngděng wǒ.
我們 要現在 回家 嗎 ？— 不要， 先 不要 回 家 吧 。|Should we go home now? — No, let's not go home yet.<br /><br />我們 要現在 回家 嗎 ？— 不要， 先 不要 回 家 吧 。<br /><br />wǒmen yàoxiànzài huíjiā mā? — búyào, xiān búyào huíjiā ba·.
我們 要出去 嗎 ？— 不要， 我們 不要出去 吧 。|Shall we go out? — No, let's not go out.<br /><br />我們 要出去 嗎 ？— 不要， 我們 不要出去 吧 。<br /><br />wǒmen yàochūqù mā? — búyào, wǒmen búyàochūqù ba·.
你 要我 關 窗戶 嗎 ？— 不用 ， 就 讓 窗戶 開著 吧 。|Do you want me to close the window? — No, leave the window open.<br /><br />你 要我 關 窗戶 嗎 ？— 不用 ， 就 讓 窗戶 開著 吧 。<br /><br />nǐ yàowǒ guān chuānghù mā? — búyòng, jiù ràng chuānghù kāizhe· ba·.
我 要 今晚 打給 你 嗎 ？— 不要，早上 打給 我。|Should I call you tonight? — No, call me in the morning.<br /><br />我 要 今晚 打給 你 嗎 ？— 不要，早上 打給 我。<br /><br />wǒ yào jīnwǎn dǎgěi nǐ mā? — búyào, zǎoshàng dǎgěi wǒ.
你 覺得 我們 應該要等 霍華德 嗎 ？— 不要， 我們 不要等 他 吧 。|Do you think we should wait for Howard? — No, let's not wait for him.<br /><br />你 覺得 我們 應該要等 霍華德 嗎 ？— 不要， 我們 不要等 他 吧 。<br /><br />nǐ juéde wǒmen yīnggāiyàoděng huòhuádé mā? — búyào, wǒmen búyàoděng tā ba·.
你 想要 我 開燈 嗎 ？— 不用 ， 燈 關著 就 好了 。|Do you want me to turn on the light? — No, leave the light off.<br /><br />你 想要 我 開燈 嗎 ？— 不用 ， 燈 關著 就 好了 。<br /><br />nǐ xiǎngyào wǒ kāidēng mā? — búyòng, dēng guānzhe· jiùhǎole·.
我們 要搭 計程車 嗎 ？— 不需要， 我們 搭 公車 吧 。|Should we take a taxi? — No, let's take a bus.<br /><br />我們 要搭 計程車 嗎 ？— 不需要， 我們 搭 公車 吧 。<br /><br />wǒmen yàodā jìchéngchē mā? — bùxūyào, wǒmen dā gōngchē ba·.
那邊 有 一個 男人 在 屋頂上 。|There's a man on the roof.<br /><br />那邊 有 一個 男人 在 屋頂上 。<br /><br />nàbiān yǒu yīge· nánrén zài wūdǐngshàng.
有 一班 火車 十點半 會來 。|There's a train coming at ten thirty (10:30).<br /><br />有 一班 火車 十點半 會來 。<br /><br />yǒu yībān huǒchē shídiǎnbàn huìlái.
一個 禮拜 有 七天 。|There are seven (7) days in a week.<br /><br />一個 禮拜 有 七天 。<br /><br />yīge· lǐbài yǒu qītiān.
庭院裡 有 一棵 大樹 。|There's a big tree in the yard.<br /><br />庭院裡 有 一棵 大樹 。<br /><br />tíngyuànlǐ yǒu yīkē dàshù.
今天晚上的 電視 沒什麼 好看的 。|There's nothing on TV tonight.<br /><br />今天晚上的 電視 沒什麼 好看的 。<br /><br />jīntiānwǎnshàngde· diànshì méishéme hǎokànde·.
你 有 錢 嗎 ？— 有 ， 我 錢包裡 有一點 錢 。|Do you have any money? — Yes, there's some in my wallet.<br /><br />你 有 錢 嗎 ？— 有 ， 我 錢包裡 有一點 錢 。<br /><br />nǐ yǒu qián mā? — yǒu, wǒ qiánbāolǐ yǒuyìdiǎn qián.
不好意思 ， 這 附近 有 旅館 嗎 ？— 有 。沒 有。|Excuse me, is there a hotel near here? — Yes, there is. > No, there isn't.<br /><br />不好意思 ， 這 附近 有 旅館 嗎 ？— 有 。沒 有。<br /><br />bùhǎoyìsī, zhè fùjìn yǒu lǚguǎn mā? — yǒu. méiyǒu.
我們 沒辦法 去 滑雪 。 那裡 沒有 下雪 。|We can't go skiing. There isn't any snow.<br /><br />我們 沒辦法 去 滑雪 。 那裡 沒有 下雪 。<br /><br />wǒmen méibànfǎ qù huáxuě. nàlǐ méiyǒu xiàxuě.
庭院裡 有 好幾棵 大樹 。|There are some big trees in the yard.<br /><br />庭院裡 有 好幾棵 大樹 。<br /><br />tíngyuànlǐ yǒu hǎojǐkē dàshù.
路上 有 很多 車禍 。|There are a lot of accidents on this road.<br /><br />路上 有 很多 車禍 。<br /><br />lùshàng yǒu hěnduō chēhuò.
這 附近 有 什麼 餐廳 嗎 ？— 有 ， 有 一些 。> 沒有 ，這裡 沒有。|Are there any restaurants near here? — Yes, there are. > No, there aren't.<br /><br />這 附近 有 什麼 餐廳 嗎 ？— 有 ， 有 一些 。> 沒有 ，這裡 沒有。<br /><br />zhè fùjìn yǒu shéme cāntīng mā? — yǒu, yǒu yìxiē. > méiyǒu, zhèlǐ méiyǒu.
這間 餐廳 非常 安靜 。 裡面 沒有 很多 人 。|This restaurant is very quiet. There aren't many people here.<br /><br />這間 餐廳 非常 安靜 。 裡面 沒有 很多 人 。<br /><br />zhèjiān cāntīng fēicháng ānjìng. lǐmiàn méiyǒu hěnduō rén.
一支 足球隊 有 幾個 球員 ？|How many players are there on a football team?<br /><br />一支 足球隊 有 幾個 球員 ？<br /><br />yīzhī zúqiúduì yǒu jǐge· qiúyuán?
一支 足球隊 有 十一個 球員 。|There are eleven (11) players on a football team.<br /><br />一支 足球隊 有 十一個 球員 。<br /><br />yīzhī zúqiúduì yǒu shíyīge· qiúyuán.
桌子上 有 一本 書 。|There's a book on the table.<br /><br />桌子上 有 一本 書 。<br /><br />zhuōzǐshàng yǒu yìběn shū.
十點半 有 一班 火車 。 是 特快車。|There's a train at ten thirty (10:30). It's an express train.<br /><br />十點半 有 一班 火車 。 是 特快車。<br /><br />shídiǎnbàn yǒu yībān huǒchē. shì tèkuàichē.
這湯裡 放了 好多 鹽 。|There's a lot of salt in this soup.<br /><br />這湯裡 放了 好多 鹽 。<br /><br />zhètānglǐ fàngle· hǎoduō yán.
我 不喜歡 這碗 湯 。 太鹹了 。|I don't like this soup. It's too salty.<br /><br />我 不喜歡 這碗 湯 。 太鹹了 。<br /><br />wǒ bùxǐhuān zhèwǎn tāng. tàixiánle·.
貝德福德 不是 一個 老的 城鎮 。沒有 什麼 老 建築。|Bedford isn't an old town. There aren't any old buildings.<br /><br />貝德福德 不是 一個 老的 城鎮 。沒有 什麼 老 建築。<br /><br />bèidéfúdé búshì yīge· lǎode· chéngzhèn. méiyǒu shéme lǎojiànzhú.
快 看 ！ 報紙上 有 你哥哥的 照片 。|Look! There's a photo of your brother in the newspaper!<br /><br />快 看 ！ 報紙上 有 你哥哥的 照片 。<br /><br />kuài kàn! bàozhǐshàng yǒu nǐgēgēde· zhàopiàn.
不好意思 ， 這 附近 有 銀行 嗎 ？— 有 ， 在 下個 路口 。|Excuse me, is there a bank near here? — Yes, at the end of the block.<br /><br />不好意思 ， 這 附近 有 銀行 嗎 ？— 有 ， 在 下個 路口 。<br /><br />bùhǎoyìsī, zhè fùjìn yǒu yínháng mā? — yǒu, zài xiàge· lùkǒu.
我的 家庭 有 五個 人 ： 我的 父母 、 兩個 妹妹 和 我 。|There are five (5) people in my family: my parents, my two (2) sisters, and me.<br /><br />我的 家庭 有 五個 人 ： 我的 父母 、 兩個 妹妹 和 我 。<br /><br />wǒde· jiātíng yǒu wǔge· rén ： wǒde· fùmǔ, liǎngge· mèimei· hàn wǒ.
這個 班級 有 幾個 學生 ？— 二十個 。|How many students are there in the class? — Twenty.<br /><br />這個 班級 有 幾個 學生 ？— 二十個 。<br /><br />zhège· bānjí yǒu jǐge· xuéshēng? — èrshíge·.
這條 路 通常 很安靜 。 沒有 太多 車 。|The road is usually very quiet. There isn't much traffic.<br /><br />這條 路 通常 很安靜 。 沒有 太多 車 。<br /><br />zhètiáo lù tōngcháng hěnānjìng. méiyǒu tàiduō chē.
市中心 有 公車 可以 到 機場 嗎 ？— 有 ， 每 二十 分鐘 一班 。|Is there a bus from downtown to the airport? — Yes, every twenty (20) minutes.<br /><br />市中心 有 公車 可以 到 機場 嗎 ？— 有 ， 每 二十 分鐘 一班 。<br /><br />shìzhōngxīn yǒu gōngchē kěyǐ dào jīchǎng mā? — yǒu, měi èrshí fēnzhōng yībān.
有 什麼 問題 嗎 ？— 沒有 ， 一切都 好。|Are there any problems? — No, everything is okay.<br /><br />有 什麼 問題 嗎 ？— 沒有 ， 一切都 好。<br /><br />yǒu shéme wèntí mā? — méiyǒu, yíqièdōu hǎo.
這裡 沒有 位子 坐 。 這裡 沒有 椅子 。|There's nowhere to sit down. There aren't any chairs.<br /><br />這裡 沒有 位子 坐 。 這裡 沒有 椅子 。<br /><br />zhèlǐ méiyǒu wèizǐ zuò. zhèlǐ méiyǒu yǐzǐ.
太陽系 有 八個 星球 。|There are eight (8) planets in the solar system.<br /><br />太陽系 有 八個 星球 。<br /><br />tàiyángxì yǒu bāge· xīngqiú.
英文字母 有 二十六個 。|There are twenty-six (26) letters in the English alphabet.<br /><br />英文字母 有 二十六個 。<br /><br />yīngwénzìmǔ yǒu èrshíliùge·.
九月 有 三十天 。|There are thirty (30) days in September.<br /><br />九月 有 三十天 。<br /><br />jiǔyuè yǒu sānshítiān.
美國 有 五十個 州 。|There are fifty (50) states in the United States.<br /><br />美國 有 五十個 州 。<br /><br />měiguó yǒu wǔshíge· zhōu.
一支 籃球隊 有 五個 球員 。|There are five (5) players on a basketball team.<br /><br />一支 籃球隊 有 五個 球員 。<br /><br />yīzhī lánqiúduì yǒu wǔge· qiúyuán.
十點半 有 一班 飛機 。— 那 是 不停站的 班 機 嗎 ？|There's a flight at ten thirty (10:30). — Is it a non-stop flight?<br /><br />十點半 有 一班 飛機 。— 那 是 不停站的 班 機 嗎 ？<br /><br />shídiǎnbàn yǒu yībān fēijī. — nà shì bùtíngzhànde· bānjī mā?
我 沒有要買 這件 衣服 。 太貴了。|I'm not going to buy this shirt. It's too expensive.<br /><br />我 沒有要買 這件 衣服 。 太貴了。<br /><br />wǒ méiyǒuyàomǎi zhèjiàn yīfú. tàiguìle·.
怎麼了 ？— 我的 眼睛裡 有 東西 。|What's wrong? — There's something in my eye.<br /><br />怎麼了 ？— 我的 眼睛裡 有 東西 。<br /><br />zěnmele·? — wǒde· yǎnjīnglǐ yǒu dōngxī.
你家 外面 有 一台 紅色的 車 。 是 你的 嗎 ？|There's a red car outside your house. Is it yours?<br /><br />你家 外面 有 一台 紅色的 車 。 是 你的 嗎 ？<br /><br />nǐjiā wàimiàn yǒu yìtái hóngsède· chē. shì nǐde· mā?
